aep,Is_holiday1,Is_holiday2,Is_Weekend1,Is_Weekend2,sin_month,cos_month,sin_week,cos_week,sin_hour,cos_hour,sin_wintert,cos_wintert,sin_springt,cos_springt,sin_summert,cos_summert,sin_fallt,cos_fallt,sin_year_dayt,cos_year_dayt
0.282291277,1,0,0,1,1.22E-16,-1,-2.45E-16,1,-0.866025404,0.5,0,1,0,1,1,6.12E-17,0,1,0.393590277,-0.91928597
0.271621116,1,0,0,1,1.22E-16,-1,-2.45E-16,1,-0.707106781,0.707106781,0,1,0,1,1,6.12E-17,0,1,0.393590277,-0.91928597
0.275989018,1,0,0,1,1.22E-16,-1,-2.45E-16,1,-0.5,0.866025404,0,1,0,1,1,6.12E-17,0,1,0.393590277,-0.91928597
0.237551479,1,0,0,1,1.22E-16,-1,-2.45E-16,1,-0.258819045,0.965925826,0,1,0,1,1,6.12E-17,0,1,0.393590277,-0.91928597
0.184075877,1,0,1,0,1.22E-16,-1,0,1,0,1,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.147510296,1,0,1,0,1.22E-16,-1,0,1,0.258819045,0.965925826,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.117621365,1,0,1,0,1.22E-16,-1,0,1,0.5,0.866025404,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.095844253,1,0,1,0,1.22E-16,-1,0,1,0.707106781,0.707106781,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.096780232,1,0,1,0,1.22E-16,-1,0,1,0.866025404,0.5,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.099712966,1,0,1,0,1.22E-16,-1,0,1,0.965925826,0.258819045,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.13615375,1,0,1,0,1.22E-16,-1,0,1,1,6.12E-17,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.185885436,1,0,1,0,1.22E-16,-1,0,1,0.965925826,-0.258819045,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.23973543,1,0,1,0,1.22E-16,-1,0,1,0.866025404,-0.5,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.285598403,1,0,1,0,1.22E-16,-1,0,1,0.707106781,-0.707106781,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.317172095,1,0,1,0,1.22E-16,-1,0,1,0.5,-0.866025404,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.358105578,1,0,1,0,1.22E-16,-1,0,1,0.258819045,-0.965925826,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.380132285,1,0,1,0,1.22E-16,-1,0,1,1.22E-16,-1,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.393672782,1,0,1,0,1.22E-16,-1,0,1,-0.258819045,-0.965925826,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.412766754,1,0,1,0,1.22E-16,-1,0,1,-0.5,-0.866025404,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.418257831,1,0,1,0,1.22E-16,-1,0,1,-0.707106781,-0.707106781,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.423374516,1,0,1,0,1.22E-16,-1,0,1,-0.866025404,-0.5,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.430675153,1,0,1,0,1.22E-16,-1,0,1,-0.965925826,-0.258819045,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.428179209,1,0,1,0,1.22E-16,-1,0,1,-1,-1.84E-16,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.426931237,1,0,1,0,1.22E-16,-1,0,1,-0.965925826,0.258819045,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.392549607,1,0,1,0,1.22E-16,-1,0,1,-0.866025404,0.5,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.385560963,1,0,1,0,1.22E-16,-1,0,1,-0.707106781,0.707106781,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.390989642,1,0,1,0,1.22E-16,-1,0,1,-0.5,0.866025404,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.3303382,1,0,1,0,1.22E-16,-1,0,1,-0.258819045,0.965925826,0,1,0,1,1,6.12E-17,0,1,0.377707965,-0.925924777
0.262448521,1,0,1,0,1.22E-16,-1,0.866025404,0.5,0,1,0,1,0,1,1,6.12E-17,0,1,0.361713731,-0.932289213
0.19462124,1,0,1,0,1.22E-16,-1,0.866025404,0.5,0.258819045,0.965925826,0,1,0,1,1,6.12E-17,0,1,0.361713731,-0.932289213
